,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,weekday,hour,month,weekend,early_or_late
0,570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,0,   what   say,,2015-02-24 19:35:52,,Eastern Time (US & Canada),Tuesday,19,February,0,0
1,570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,  plus -PRON- have add commercial to the experience tacky,,2015-02-24 19:15:59,,Pacific Time (US & Canada),Tuesday,19,February,0,0
2,570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,  i do not today   must mean i need to take another trip,,2015-02-24 19:15:48,Lets Play,Central Time (US & Canada),Tuesday,19,February,0,0
3,570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,  -PRON- be really aggressive to blast obnoxious entertainment in -PRON- guest face amp -PRON- have little recourse,,2015-02-24 19:15:36,,Pacific Time (US & Canada),Tuesday,19,February,0,0
4,570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,  and -PRON- be a really big bad thing about -PRON-,,2015-02-24 19:14:45,,Pacific Time (US & Canada),Tuesday,19,February,0,0
5,570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,"  seriously would pay   a flight for seat that do not have this playing 
 -PRON- be really the only bad thing about fly va",,2015-02-24 19:14:33,,Pacific Time (US & Canada),Tuesday,19,February,0,0
6,570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,  yes nearly every time i fly vx this ear worm will not go away,,2015-02-24 19:13:57,San Francisco CA,Pacific Time (US & Canada),Tuesday,19,February,0,0
7,570300248553349120,neutral,0.634,,,Virgin America,,pilot,,0,   really miss a prime opportunity for   man   without   hat parody there,,2015-02-24 19:12:29,Los Angeles,Pacific Time (US & Canada),Tuesday,19,February,0,0
8,570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,   well i do notbut now i do d,,2015-02-24 19:11:19,San Diego,Pacific Time (US & Canada),Tuesday,19,February,0,0
9,570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,  -PRON- be amazing and arrive an hour early   -PRON- be too good to -PRON-,,2015-02-24 18:53:27,Los Angeles,Eastern Time (US & Canada),Tuesday,18,February,0,0
